N NB Time(s) GFLOPS Status
1000 1 0.16 4.1002e+00 1
1000 2 0.09 7.4289e+00 1
1000 4 0.06 1.1971e+01 1
1000 8 0.03 1.9541e+01 1
1000 16 0.02 2.8732e+01 1
1000 32 0.02 3.1551e+01 1
1000 64 0.02 3.1347e+01 1
1000 128 0.02 2.9531e+01 1
1000 256 0.03 2.4276e+01 1
5000 1 33.10 2.5190e+00 1
5000 2 17.43 4.7826e+00 1
5000 4 9.98 8.3574e+00 1
5000 8 5.22 1.5966e+01 1
5000 16 2.86 2.9124e+01 1
5000 32 2.15 3.8714e+01 1
5000 64 1.82 4.5684e+01 1
5000 128 1.76 4.7470e+01 1
5000 256 1.76 4.7338e+01 1
10000 1 326.21 2.0441e+00 1
10000 2 149.49 4.4606e+00 1
10000 4 94.91 7.0258e+00 1
10000 8 42.75 1.5598e+01 1
10000 16 24.74 2.6956e+01 1
10000 32 16.49 4.0425e+01 1
10000 64 13.99 4.7655e+01 1
10000 128 12.54 5.3183e+01 1
10000 256 12.51 5.3284e+01 1
20000 1 2331.02 2.2882e+00 1
20000 2 1267.05 4.2097e+00 1
20000 4 731.98 7.2870e+00 1
20000 8 359.00 1.4858e+01 1
20000 16 196.51 2.7143e+01 1
20000 32 129.09 4.1320e+01 1
20000 64 104.87 5.0863e+01 1
20000 128 94.81 5.6260e+01 1
20000 256 90.35 5.9036e+01 1
